year,lower95,median,upper95,species
2006,3461000,3810000,4160000,hake
2007,3140000,3567000,4000000,hake
2008,1560000,2890000,3500000,hake
2009,1220000,1370000,1510000,hake
2010,1150000,1330000,1500000,hake
2011,1549000,2034000,2756000,hake
2012,1489000,1888000,2529000,hake
2013,1653000,2081000,2709000,hake
2014,1690000,2132000,2748000,hake
2015,1828000,2269000,2897000,hake
2016,1887000,2397000,3216000,hake
2017,1822000,2362000,3314000,hake
2018,1641000,2032000,2608000,hake
2019,1649000,2026000,2682000,hake
2020,1231000,1832000,2853000,hake
2021,1036000,1657730,2818000,hake
2022,1140000,1813310,3131000,hake
2005,26081.2,30286,34490.8,petrale
2009,20018.7,25333.9,30649.1,petrale
2011,19619.26,26278.1,32936.94,petrale
2013,25879.12,32425.5,38971.88,petrale
2015,27190.34,33476.3,39762.26,petrale
2019,27061.14,33405.9,39750.66,petrale
2021,27061.14,33405.9,39750.66,petrale
2005,188856,218856,248856,sablefish
2007,216512,244800,273088,sablefish
2011,123045.6,182136,241226.4,sablefish
2015,113995.6,150622,187248.4,sablefish
2019,108232.4,147729,187225.6,sablefish
2021,106500.6,168875,231249.4,sablefish